route,sample,renders,protected,deeplink_semantic,deeplink_destination,in_app_semantic,affordance,verdict
/institution/:institutionId/institutions/:slug,/institution/x-institutionid/institutions/x-slug,false,false,deepLinkFallback,/institution/x-institutionid/explore,stackReturn,true,NOT_A_SURFACE
/institution/:institutionId/direct/:threadId,/institution/x-institutionid/direct/x-threadid,true,false,deepLinkFallback,/institution/x-institutionid/explore,stackReturn,true,COMPLIANT
/institution/:institutionId/posts/:postId/edit,/institution/x-institutionid/posts/x-postid/edit,true,false,flowCancel,/institution/x-institutionid/explore,flowCancel,true,COMPLIANT
/institution/:institutionId/activity,/institution/x-institutionid/activity,true,false,contextReturn,/institution/x-institutionid/explore,stackReturn,true,COMPLIANT
/institution/:institutionId/billing,/institution/x-institutionid/billing,true,false,deepLinkFallback,/institution/x-institutionid/explore,stackReturn,true,COMPLIANT
/institution/:institutionId/messages,/institution/x-institutionid/messages,true,false,contextReturn,/institution/x-institutionid/explore,stackReturn,true,COMPLIANT
/institution/:institutionId/messages/direct,/institution/x-institutionid/messages/direct,false,false,parentReturn,/institution/x-institutionid/messages,stackReturn,true,NOT_A_SURFACE
/institution/:institutionId/messages/direct/archived,/institution/x-institutionid/messages/direct/archived,false,false,parentReturn,/institution/x-institutionid/messages,stackReturn,true,NOT_A_SURFACE
/realtime,/realtime,true,false,deepLinkFallback,/home,stackReturn,true,COMPLIANT
/realtime/:sessionId,/realtime/x-sessionid,true,true,parentReturn,/realtime,stackReturn,true,PROTECTED_BOUNDARY
